#E (eV)                 PP(111)H	            PS(111)H
2.701899318932490e+0    3.428601030000000e-1	7.860775290000000e-2
2.698406143393954e+0    3.540483120000000e-1	8.257247510000000e-2
2.694921982703541e+0    3.831907210000000e-1	8.215048160000000e-2
2.691446807852188e+0    4.028143880000000e-1	8.240161090000000e-2
2.687980584122218e+0    4.063044790000000e-1	8.062217380000000e-2
2.684523276974569e+0    4.342943730000000e-1	8.479233090000000e-2
2.681074852047648e+0    4.590242510000000e-1	8.483548460000000e-2
2.677635275156194e+0    4.596313240000000e-1	8.559147270000000e-2
2.674204512290148e+0    4.552934170000000e-1	8.611916010000000e-2
2.670782529613532e+0    4.730256800000000e-1	8.903489260000000e-2
2.667369293463334e+0    4.987595680000000e-1	9.140926600000000e-2
2.663964770348409e+0    5.122582910000000e-1	8.843161910000000e-2
2.660568926948380e+0    5.163243410000000e-1	8.836425840000000e-2
2.657181730112553e+0    5.366088150000000e-1	9.357370440000000e-2
2.653803152539454e+0    5.331645610000000e-1	9.207758310000000e-2
2.650433150038869e+0    5.264410970000000e-1	8.989228310000000e-2
2.647071695657802e+0    5.574192400000000e-1	8.698791270000000e-2
2.643718756913580e+0    5.847809910000000e-1	9.064122290000000e-2
2.640374301487899e+0    5.909028050000000e-1	8.977528660000000e-2
2.637038297225789e+0    6.048699620000000e-1	9.006294610000000e-2
2.633710712134579e+0    6.030452850000000e-1	8.796058600000000e-2
2.630391514382876e+0    6.155617240000000e-1	9.200274200000000e-2
2.627080672299552e+0    6.213094000000000e-1	9.472565350000000e-2
2.623778154372731e+0    6.155753140000000e-1	9.187708800000000e-2
2.620483929248798e+0    6.199708579999999e-1	9.326755260000000e-2
2.617197965731398e+0    6.181809900000001e-1	9.743703160000000e-2
2.613920232780456e+0    5.817447900000000e-1	9.762572500000000e-2
2.610650705008582e+0    5.682208540000000e-1	9.887830910000000e-2
